Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUS_LV_118", 0.24, 1,    130.752,  -71.2,   0.94362, 2,    130.752,  168.8,   0.94362, 3,    130.752,   48.8,   0.94362
"BUS_LV_119", 0.24, 1,    130.748,  -71.2,   0.94359, 2,    130.748,  168.8,   0.94359, 3,    130.748,   48.8,   0.94359
"BUS_LV_120", 0.24, 1,    130.747,  -71.2,   0.94358, 2,    130.747,  168.8,   0.94358, 3,    130.747,   48.8,   0.94358
"BUS_LV_121", 0.24, 1,    130.739,  -71.2,   0.94353, 2,    130.739,  168.8,   0.94353, 3,    130.739,   48.8,   0.94353
"BUS_LV_122", 0.24, 1,     130.73,  -71.2,   0.94346, 2,     130.73,  168.8,   0.94346, 3,     130.73,   48.8,   0.94346
"BUS_LV_123", 0.24, 1,     130.73,  -71.2,   0.94346, 2,     130.73,  168.8,   0.94346, 3,     130.73,   48.8,   0.94346
"BUS_LV_124", 0.24, 1,    130.723,  -71.2,   0.94341, 2,    130.723,  168.8,   0.94341, 3,    130.723,   48.8,   0.94341
"BUS_LV_125", 0.24, 1,    130.713,  -71.2,   0.94334, 2,    130.713,  168.8,   0.94334, 3,    130.713,   48.8,   0.94334
"BUS_LV_126", 0.24, 1,    130.711,  -71.2,   0.94333, 2,    130.711,  168.8,   0.94333, 3,    130.711,   48.8,   0.94333
"BUS_LV_127", 0.24, 1,    129.167,  -73.5,   0.93218, 2,    129.167,  166.5,   0.93218, 3,    129.167,   46.5,   0.93218
"BUS_LV_128", 0.24, 1,    130.716,  -71.2,   0.94336, 2,    130.716,  168.8,   0.94336, 3,    130.716,   48.8,   0.94336
"BUS_LV_129", 0.24, 1,    130.714,  -71.2,   0.94335, 2,    130.714,  168.8,   0.94335, 3,    130.714,   48.8,   0.94335
"BUS_LV_130", 0.24, 1,    130.713,  -71.2,   0.94334, 2,    130.713,  168.8,   0.94334, 3,    130.713,   48.8,   0.94334
"BUS_LV_131", 0.24, 1,    130.712,  -71.2,   0.94334, 2,    130.712,  168.8,   0.94334, 3,    130.712,   48.8,   0.94334
